x,y
0,1
0.06279052,0.9980267
0.1253332,0.9921147
0.1873813,0.9822872
0.2486899,0.9685832
0.309017,0.9510565
0.3681246,0.9297765
0.4257793,0.9048271
0.4817537,0.8763067
0.5358269,0.8443279
0.5877852,0.809017
0.6374241,0.7705132
0.6845471,0.7289686
0.7289687,0.6845471
0.7705133,0.6374239
0.809017,0.5877852
0.8443279,0.5358267
0.8763067,0.4817536
0.9048271,0.4257792
0.9297765,0.3681245
0.9510565,0.309017
0.9685832,0.2486898
0.9822873,0.1873812
0.9921147,0.1253331
0.9980267,0.06279038
1,-4.371139E-08
0.9980267,-0.06279059
0.9921147,-0.1253333
0.9822872,-0.1873814
0.9685831,-0.24869
0.9510565,-0.309017
0.9297764,-0.3681246
0.904827,-0.4257794
0.8763066,-0.4817538
0.8443279,-0.5358269
0.8090169,-0.5877854
0.7705131,-0.6374242
0.7289684,-0.6845472
0.6845471,-0.7289686
0.6374239,-0.7705133
0.5877852,-0.8090171
0.5358267,-0.844328
0.4817536,-0.8763067
0.4257792,-0.9048271
0.3681244,-0.9297765
0.3090168,-0.9510566
0.2486897,-0.9685832
0.1873811,-0.9822873
0.125333,-0.9921147
0.06279046,-0.9980267
-8.742278E-08,-1
-0.06279063,-0.9980267
-0.1253334,-0.9921147
-0.1873815,-0.9822872
-0.2486901,-0.9685831
-0.3090172,-0.9510564
-0.3681248,-0.9297764
-0.4257795,-0.9048269
-0.4817539,-0.8763065
-0.5358269,-0.8443279
-0.5877854,-0.8090169
-0.6374241,-0.7705132
-0.6845472,-0.7289685
-0.7289687,-0.6845469
-0.7705134,-0.6374238
-0.8090171,-0.5877851
-0.844328,-0.5358266
-0.8763068,-0.4817534
-0.9048272,-0.425779
-0.9297766,-0.3681242
-0.9510566,-0.3090166
-0.9685833,-0.2486895
-0.9822873,-0.1873809
-0.9921148,-0.1253328
-0.9980267,-0.06279006
-1,1.192488E-08
-0.9980267,0.06279056
-0.9921147,0.1253333
-0.9822872,0.1873814
-0.9685831,0.24869
-0.9510565,0.3090171
-0.9297764,0.3681247
-0.904827,0.4257795
-0.8763066,0.4817539
-0.8443278,0.535827
-0.8090168,0.5877855
-0.7705131,0.6374242
-0.7289684,0.6845474
-0.6845468,0.7289689
-0.6374237,0.7705135
-0.5877849,0.8090172
-0.5358264,0.8443282
-0.4817533,0.8763069
-0.4257789,0.9048272
-0.3681241,0.9297767
-0.3090165,0.9510567
-0.2486894,0.9685833
-0.1873812,0.9822873
-0.1253331,0.9921147
-0.06279037,0.9980267
