x,y
8.742278E-08,0
-0.06279046,0.003942639
-0.1253332,0.01570842
-0.1873813,0.03511176
-0.2486899,0.06184667
-0.309017,0.09549153
-0.3681244,0.1355156
-0.4257792,0.1812879
-0.4817536,0.2320865
-0.5358267,0.2871103
-0.5877852,0.3454914
-0.6374239,0.4063093
-0.6845471,0.4686047
-0.7289686,0.5313953
-0.7705132,0.5936907
-0.809017,0.6545085
-0.844328,0.7128897
-0.8763066,0.7679133
-0.904827,0.8187119
-0.9297764,0.8644843
-0.9510565,0.9045085
-0.9685832,0.9381533
-0.9822872,0.9648882
-0.9921147,0.9842916
-0.9980267,0.9960574
-1,1
-0.9980267,0.9960574
-0.9921147,0.9842916
-0.9822872,0.9648882
-0.9685832,0.9381533
-0.9510565,0.9045085
-0.9297765,0.8644843
-0.9048271,0.818712
-0.8763067,0.7679133
-0.8443279,0.7128896
-0.809017,0.6545085
-0.7705132,0.5936906
-0.7289686,0.5313953
-0.6845471,0.4686047
-0.637424,0.4063093
-0.5877852,0.3454915
-0.5358267,0.2871103
-0.4817536,0.2320866
-0.4257792,0.181288
-0.3681245,0.1355157
-0.3090169,0.09549147
-0.2486898,0.06184661
-0.1873812,0.03511173
-0.1253332,0.01570842
-0.06279045,0.003942639
7.450581E-08,0
0.06279059,0.003942668
0.1253333,0.01570845
0.1873814,0.03511178
0.24869,0.0618467
0.3090171,0.09549156
0.3681246,0.1355157
0.4257794,0.1812881
0.4817537,0.2320867
0.5358269,0.2871104
0.5877854,0.3454916
0.6374241,0.4063094
0.6845472,0.4686049
0.7289687,0.5313954
0.7705133,0.5936908
0.8090171,0.6545087
0.844328,0.7128898
0.8763067,0.7679135
0.9048271,0.8187121
0.9297765,0.8644844
0.9510565,0.9045086
0.9685832,0.9381534
0.9822873,0.9648883
0.9921147,0.9842916
0.9980267,0.9960574
1,1
0.9980267,0.9960573
0.9921147,0.9842916
0.9822872,0.9648882
0.9685831,0.9381533
0.9510565,0.9045084
0.9297764,0.8644842
0.904827,0.8187119
0.8763066,0.7679133
0.8443279,0.7128895
0.8090169,0.6545084
0.7705131,0.5936905
0.7289684,0.531395
0.6845469,0.4686045
0.6374238,0.4063091
0.587785,0.3454912
0.5358267,0.2871103
0.4817536,0.2320865
0.4257792,0.1812879
0.3681244,0.1355156
0.3090168,0.09549138
0.2486897,0.06184655
0.1873811,0.03511167
0.125333,0.01570836
0.06279022,0.003942609
