x,y
8,-1
7.6436,-0.9400001
7.2944,-0.88
6.9524,-0.8200001
6.6176,-0.76
6.29,-0.7
5.9696,-0.64
5.6564,-0.58
5.3504,-0.52
5.0516,-0.46
4.76,-0.4
4.4756,-0.34
4.1984,-0.28
3.9284,-0.22
3.6656,-0.16
3.41,-0.1
3.1616,-0.03999996
2.9204,0.01999998
2.6864,0.07999998
2.4596,0.14
2.24,0.2
2.0276,0.26
1.8224,0.32
1.6244,0.38
1.4336,0.4399999
1.25,0.4999999
1.0736,0.5599999
0.9044001,0.62
0.7424001,0.6799999
0.5876001,0.7399999
0.4400001,0.8
0.2996001,0.86
0.1664001,0.92
0.04040009,0.98
-0.07839991,1.04
-0.1899999,1.1
-0.2943999,1.16
-0.3915999,1.22
-0.4815999,1.28
-0.5643999,1.34
-0.6399999,1.4
-0.7084,1.46
-0.7695999,1.52
-0.8235999,1.58
-0.8704,1.64
-0.91,1.7
-0.9424,1.76
-0.9676,1.82
-0.9856,1.88
-0.9964,1.94
-1,2
-0.9964,2.06
-0.9856001,2.12
-0.9676,2.18
-0.9424,2.24
-0.91,2.3
-0.8704001,2.36
-0.8236001,2.42
-0.7696001,2.48
-0.7084001,2.54
-0.6400001,2.6
-0.5644,2.66
-0.4816001,2.72
-0.3916,2.78
-0.2944002,2.84
-0.1900003,2.9
-0.07840016,2.96
0.04039996,3.02
0.1663998,3.08
0.2995997,3.14
0.4399996,3.2
0.5876,3.26
0.7423998,3.32
0.9043996,3.38
1.073599,3.44
1.25,3.5
1.4336,3.56
1.6244,3.62
1.822399,3.68
2.0276,3.74
2.24,3.8
2.459599,3.86
2.686399,3.92
2.920399,3.98
3.1616,4.04
3.41,4.1
3.665599,4.16
3.928399,4.22
4.1984,4.28
4.4756,4.34
4.759999,4.4
5.051599,4.46
5.3504,4.52
5.6564,4.58
5.969599,4.64
6.289999,4.7
6.617599,4.76
6.9524,4.82
7.294399,4.88
7.643599,4.94
